slot,fz_id,uic,series,region,depot,status
3.01,BW-1428-301,94 80 1428 301-1,1428,BW,depot-essingen,active
3.02,BW-1430-302,94 80 1430 302-9,1430,BW,depot-essingen,active
3.03,BW-3427-303,94 80 3427 303-7,3427,BW,depot-essingen,active
3.04,BW-1427-304,94 80 1427 304-5,1427,BW,depot-essingen,active
3.05,BW-1428-305,94 80 1428 305-2,1428,BW,depot-essingen,active
3.06,BW-1430-306,94 80 1430 306-0,1430,BW,depot-essingen,active
3.07,BW-3427-307,94 80 3427 307-8,3427,BW,depot-essingen,active
3.08,BW-1427-308,94 80 1427 308-6,1427,BW,depot-essingen,active
3.09,BW-1428-309,94 80 1428 309-4,1428,BW,depot-essingen,active
3.10,BW-1430-310,94 80 1430 310-2,1430,BW,depot-essingen,active
3.11,BW-3427-311,94 80 3427 311-0,3427,BW,depot-essingen,active
3.12,BW-1427-312,94 80 1427 312-8,1427,BW,depot-essingen,active
3.13,BW-1428-313,94 80 1428 313-6,1428,BW,depot-essingen,active
4.01,BW-1430-401,94 80 1430 401-5,1430,BW,depot-essingen,active
4.02,BW-3427-402,94 80 3427 402-3,3427,BW,depot-essingen,active
4.03,BW-1427-403,94 80 1427 403-1,1427,BW,depot-essingen,active
4.04,BW-1428-404,94 80 1428 404-9,1428,BW,depot-essingen,active
4.05,BW-1430-405,94 80 1430 405-6,1430,BW,depot-essingen,active
4.06,BW-3427-406,94 80 3427 406-4,3427,BW,depot-essingen,active
4.07,BW-1427-407,94 80 1427 407-2,1427,BW,depot-essingen,active
4.08,BW-1428-408,94 80 1428 408-0,1428,BW,depot-essingen,active
4.09,BW-1430-409,94 80 1430 409-8,1430,BW,depot-essingen,active
5.01,BW-3427-501,94 80 3427 501-7,3427,BW,depot-essingen,active
5.02,BW-1427-502,94 80 1427 502-5,1427,BW,depot-essingen,active
5.03,BW-1428-503,94 80 1428 503-3,1428,BW,depot-essingen,active
5.04,BW-1430-504,94 80 1430 504-1,1430,BW,depot-essingen,active
5.05,BW-3427-505,94 80 3427 505-9,3427,BW,depot-essingen,active
5.06,BW-1427-506,94 80 1427 506-6,1427,BW,depot-essingen,active
5.07,BW-1428-507,94 80 1428 507-4,1428,BW,depot-essingen,active
5.08,BW-1430-508,94 80 1430 508-2,1430,BW,depot-essingen,active
5.09,BW-3427-509,94 80 3427 509-0,3427,BW,depot-essingen,active
5.10,BW-1427-510,94 80 1427 510-8,1427,BW,depot-essingen,active
5.11,BW-1428-511,94 80 1428 511-6,1428,BW,depot-essingen,active
5.12,BW-1430-512,94 80 1430 512-4,1430,BW,depot-essingen,active
5.13,BW-3427-513,94 80 3427 513-2,3427,BW,depot-essingen,active
5.14,BW-1427-514,94 80 1427 514-0,1427,BW,depot-essingen,active
5.15,BW-1428-515,94 80 1428 515-7,1428,BW,depot-essingen,active
5.16,BW-1430-516,94 80 1430 516-5,1430,BW,depot-essingen,active
5.17,BW-3427-517,94 80 3427 517-3,3427,BW,depot-essingen,active
5.18,BW-1427-518,94 80 1427 518-1,1427,BW,depot-essingen,active
5.19,BW-1428-519,94 80 1428 519-9,1428,BW,depot-essingen,active
6.01,BW-1430-601,94 80 1430 601-4,1430,BW,depot-essingen,active
6.02,BW-3427-602,94 80 3427 602-2,3427,BW,depot-essingen,active
6.03,BW-1427-603,94 80 1427 603-0,1427,BW,depot-essingen,active
6.04,BW-1428-604,94 80 1428 604-8,1428,BW,depot-essingen,active
6.05,BW-1430-605,94 80 1430 605-5,1430,BW,depot-essingen,active
6.06,BW-3427-606,94 80 3427 606-3,3427,BW,depot-essingen,active
6.07,BW-1427-607,94 80 1427 607-1,1427,BW,depot-essingen,active
6.08,BW-1428-608,94 80 1428 608-9,1428,BW,depot-essingen,active
6.09,BW-1430-609,94 80 1430 609-7,1430,BW,depot-essingen,active
6.10,BW-3427-610,94 80 3427 610-5,3427,BW,depot-essingen,active
6.11,BW-1427-611,94 80 1427 611-3,1427,BW,depot-essingen,active
6.12,BW-1428-612,94 80 1428 612-1,1428,BW,depot-essingen,active
6.13,BW-1430-613,94 80 1430 613-9,1430,BW,depot-essingen,active
6.14,BW-3427-614,94 80 3427 614-7,3427,BW,depot-essingen,active
9.01,BW-1427-901,94 80 1427 901-2,1427,BW,depot-essingen,standby
9.02,BW-1428-902,94 80 1428 902-0,1428,BW,depot-essingen,standby
9.03,BW-1430-903,94 80 1430 903-8,1430,BW,depot-essingen,standby
9.04,BW-3427-904,94 80 3427 904-6,3427,BW,depot-essingen,standby
9.05,BW-1427-905,94 80 1427 905-3,1427,BW,depot-essingen,standby
9.06,BW-1428-906,94 80 1428 906-1,1428,BW,depot-essingen,standby
9.07,BW-1430-907,94 80 1430 907-9,1430,BW,depot-essingen,standby
9.08,BW-3427-908,94 80 3427 908-7,3427,BW,depot-essingen,standby
9.09,BW-1427-909,94 80 1427 909-5,1427,BW,depot-essingen,maintenance
9.10,BW-1428-910,94 80 1428 910-3,1428,BW,depot-essingen,maintenance
9.11,BW-1430-911,94 80 1430 911-1,1430,BW,depot-essingen,maintenance


